Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
Mario Kart 7,3DS,2011-12-04,Retro Studios,Nintendo,Auto Racing,85.0,73.0,8.2,1004.0,/game/mario-kart-7/
Mario Kart 8,Wii U,2014-05-30,Nintendo,Nintendo,Auto Racing,88.0,82.0,8.7,2060.0,/game/mario-kart-8/
Mario Kart 8 Dlc Pack 1,Wii U,2014-11-13,Nintendo,Nintendo,Auto Racing,87.0,7.0,8.2,436.0,/game/mario-kart-8-dlc-pack-1/
Mario Kart 8 Dlc Pack 2,Wii U,2015-04-23,Nintendo,Nintendo,Auto Racing,90.0,11.0,8.2,339.0,/game/mario-kart-8-dlc-pack-2/
Mario Kart 8 Deluxe,Nintendo Switch,2017-04-28,Nintendo,Nintendo,Auto Racing,92.0,99.0,8.6,3101.0,/game/mario-kart-8-deluxe/
Mario Kart 8 Deluxe: Booster Course Pass - Wave 1,Nintendo Switch,2022-03-18,Nintendo,Nintendo,Auto Racing,73.0,11.0,6.6,38.0,/game/mario-kart-8-deluxe-booster-course-pass-wave-1/
Mario Kart 8 Deluxe: Booster Course Pass - Wave 2,Nintendo Switch,2022-08-04,Nintendo,Nintendo,Auto Racing,77.0,8.0,6.7,15.0,/game/mario-kart-8-deluxe-booster-course-pass-wave-2/
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3,Nintendo Switch,2022-12-07,Nintendo,Nintendo,Auto Racing,83.0,7.0,7.3,21.0,/game/mario-kart-8-deluxe-booster-course-pass-wave-3/
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4,Nintendo Switch,2023-03-09,Nintendo,Nintendo,Auto Racing,86.0,9.0,7.7,46.0,/game/mario-kart-8-deluxe-booster-course-pass-wave-4/
Mario Kart Ds,DS,2005-11-14,Nintendo,Nintendo,Auto Racing,91.0,64.0,8.7,798.0,/game/mario-kart-ds/
Mario Kart Live: Home Circuit,Nintendo Switch,2020-10-16,Velan Studios,Nintendo,Auto Racing,75.0,62.0,6.9,86.0,/game/mario-kart-live-home-circuit/
Mario Kart Wii,Wii,2008-04-27,Nintendo,Nintendo,Auto Racing,82.0,73.0,8.6,1091.0,/game/mario-kart-wii/
Mario Kart: Double Dash!!,GameCube,2003-11-17,Nintendo,Nintendo,Auto Racing,87.0,58.0,8.7,487.0,/game/mario-kart-double-dash/
Mario Kart: Super Circuit,Game Boy Advance,2001-08-26,Intelligent Systems,Nintendo,Auto Racing,93.0,24.0,7.8,309.0,/game/mario-kart-super-circuit/
Mario Party,Nintendo 64,1999-02-08,Hudson,Nintendo,Party,79.0,16.0,8.0,168.0,/game/mario-party/
Mario Party 10,Wii U,2015-03-20,Nd Cube,Nintendo,Party,66.0,66.0,6.4,403.0,/game/mario-party-10/
Mario Party 3,Nintendo 64,2001-05-06,Hudson,Nintendo,Party,74.0,12.0,8.2,121.0,/game/mario-party-3/
Mario Party 4,GameCube,2002-10-21,Hudson,Nintendo,Party,70.0,26.0,7.7,115.0,/game/mario-party-4/
Mario Party 5,GameCube,2003-11-10,Hudson,Nintendo,Party,69.0,33.0,7.7,104.0,/game/mario-party-5/
Mario Party 6,GameCube,2004-12-06,Hudson Soft,Nintendo,Party,71.0,33.0,8.0,89.0,/game/mario-party-6/
Mario Party 7,GameCube,2005-11-07,Hudson,Nintendo,Party,64.0,25.0,7.8,94.0,/game/mario-party-7/
Mario Party 8,Wii,2007-05-29,Hudson,Nintendo,Party,62.0,41.0,6.7,250.0,/game/mario-party-8/
Mario Party 9,Wii,2012-03-11,Nd Cube,Nintendo,Party,73.0,45.0,6.8,268.0,/game/mario-party-9/
Mario Party Advance,Game Boy Advance,2005-03-28,AI,Nintendo,Party,54.0,27.0,4.8,63.0,/game/mario-party-advance/
Mario Party Ds,DS,2007-11-19,Hudson Soft,Nintendo,Party,72.0,27.0,7.8,170.0,/game/mario-party-ds/
Mario Party Superstars,Nintendo Switch,2021-10-29,Nd Cube,Nintendo,Party,80.0,97.0,8.0,334.0,/game/mario-party-superstars/
Mario Party: Island Tour,3DS,2013-11-22,Nd Cube,Nintendo,Party,57.0,47.0,5.9,180.0,/game/mario-party-island-tour/
Mario Party: Star Rush,3DS,2016-11-04,Nd Cube,Nintendo,Party,68.0,40.0,6.9,64.0,/game/mario-party-star-rush/
Mario Party: The Top 100,3DS,2017-11-10,Nd Cube,Nintendo,Party,59.0,40.0,6.1,109.0,/game/mario-party-the-top-100/
Mario Pinball Land,Game Boy Advance,2004-10-04,Fuse Games Limited,Nintendo,Pinball,62.0,35.0,3.9,18.0,/game/mario-pinball-land/
Mario Power Tennis,GameCube,2004-11-08,Camelot Software Planning,Nintendo,Tennis,80.0,43.0,8.3,70.0,/game/mario-power-tennis/
Mario Sports Mix,Wii,2011-02-07,Square Enix,Nintendo,Sports,64.0,54.0,8.0,73.0,/game/mario-sports-mix/
Mario Sports Superstars,3DS,2017-03-24,Camelot Software Planning,Nintendo,Sports,62.0,45.0,7.2,51.0,/game/mario-sports-superstars/
Mario Strikers Charged,Wii,2007-07-30,Next Level Games,Nintendo,Soccer,79.0,47.0,8.2,129.0,/game/mario-strikers-charged/
Mario Strikers: Battle League,Nintendo Switch,2022-06-10,Next Level Games,Nintendo,Soccer,73.0,117.0,4.4,450.0,/game/mario-strikers-battle-league/
