Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
"""Hook""",iOS (iPhone/iPad),2015-01-20,Megabyte Bomb,Megabyte Bomb,Puzzle,,,,,https://www.metacritic.com/game/hook-2015
#Blud,PC,2024-06-18,Exit 73 Studios,Humble Games,Action Adventure,,,,,https://www.metacritic.com/game/blud
#Drive,iOS (iPhone/iPad),2021-02-16,Dariusz Pietrala,PM Studios Inc.,Auto Racing,69.0,7.0,6.3,7.0,/game/drive-2019/
#Drive Rally,Xbox Series X,,Pixel Perfect Dude,Pixel Perfect Dude,Arcade Racing,,,,,https://www.metacritic.com/game/drive-rally
#Idarb,Xbox One,2015-01-30,Other Ocean Interactive,Other Ocean Interactive,Party,77.0,31.0,6.9,91.0,/game/idarb/
#Killallzombies,PlayStation 4,2016-08-10,Beatshapers,Digerati Distribution,Top-Down Shoot-'Em-Up,53.0,9.0,,,/game/killallzombies/
'Splosion Man,Xbox 360,2009-07-22,Twisted Pixel Games,Twisted Pixel Games,2D Platformer,84.0,52.0,7.3,92.0,/game/splosion-man/
.Detuned,PlayStation 3,2009-10-15,.theprodukkt,SCEA,Rhythm,46.0,9.0,3.4,32.0,/game/-detuned/
.Hack//G.U. Last Recode,PlayStation 4,2017-11-03,CyberConnect2,Bandai Namco Games,Compilation,76.0,21.0,8.2,75.0,/game/hack-gu-last-recode/
.Hack//G.U. Vol. 1//Rebirth,PlayStation 2,2006-10-24,CyberConnect2,Namco Bandai Games,Action RPG,69.0,21.0,7.8,32.0,/game/-hack-g-u-vol-1-rebirth/
.Hack//G.U. Vol. 2//Reminisce,PlayStation 2,2007-05-08,CyberConnect2,Namco Bandai Games,Action RPG,61.0,21.0,8.1,18.0,/game/-hack-g-u-vol-2-reminisce/
.Hack//G.U. Vol. 3//Redemption,PlayStation 2,2007-09-10,CyberConnect2,Namco Bandai Games,Action RPG,60.0,15.0,8.9,23.0,/game/-hack-g-u-vol-3-redemption/
.Hack//Infection Part 1,PlayStation 2,2003-02-10,CyberConnect2,Bandai,Action RPG,75.0,35.0,7.5,31.0,/game/-hack-infection-part-1/
.Hack//Mutation Part 2,PlayStation 2,2003-05-06,CyberConnect2,Bandai,Action RPG,76.0,24.0,6.3,21.0,/game/-hack-mutation-part-2/
.Hack//Outbreak Part 3,PlayStation 2,2003-09-09,CyberConnect2,Bandai,Action RPG,70.0,23.0,7.2,11.0,/game/-hack-outbreak-part-3/
.Hack//Quarantine Part 4,PlayStation 2,2004-01-14,CyberConnect2,Bandai,Action RPG,70.0,20.0,6.7,13.0,/game/-hack-quarantine-part-4/
0 Day Attack On Earth,Xbox 360,2009-12-23,Gulti,Square Enix,Third Person Shooter,41.0,19.0,5.9,8.0,/game/0-day-attack-on-earth/
007 Legends,Xbox 360,2012-10-16,Eurocom,Activision,FPS,45.0,49.0,4.5,86.0,/game/007-legends/
007 Racing,PlayStation,2000-11-20,Eutechnyx,Electronic Arts,Auto Racing,51.0,16.0,4.9,20.0,/game/007-racing/
007: Nightfire,GameCube,2002-11-18,Eurocom,Electronic Arts,FPS,78.0,30.0,8.4,21.0,/game/james-bond-007-nightfire/
007: Quantum Of Solace,Xbox 360,2008-11-04,Treyarch,Activision,FPS,65.0,69.0,6.9,69.0,/game/quantum-of-solace/
007: Quantum Of Solace (Nintendo Ds),DS,2008-11-04,Vicarious Visions,Activision,Action Adventure,65.0,10.0,,,/game/007-quantum-of-solace-nintendo-ds/
007: The World Is Not Enough,Nintendo 64,2000-11-01,Eurocom,Electronic Arts,FPS,81.0,16.0,7.9,51.0,/game/007-the-world-is-not-enough/
0Rbitalis,PC,2015-05-28,Alan Zucconi,Mastertronic,Action Puzzle,73.0,9.0,7.2,5.0,/game/0rbitalis/
1-2-Switch,Nintendo Switch,2017-03-03,Nintendo,Nintendo,Party,58.0,65.0,4.9,477.0,/game/1-2-switch/
10 Second Ninja,PC,2014-03-05,GameDesignDan,Mastertronic,2D Platformer,72.0,13.0,7.1,17.0,/game/10-second-ninja/
10 Second Ninja X,PC,2016-07-19,GameDesignDan,Curve Digital,2D Platformer,76.0,16.0,5.3,24.0,/game/10-second-ninja-x/
100 Classic Books,DS,2010-06-14,Genius Sonority Inc.,Nintendo,Application,70.0,7.0,6.1,11.0,/game/100-classic-books/
100 Years' War,PC,2019-08-09,HexWar Games,HexWar Games,Turn-Based Tactics,4.3,4.0,,,https://www.metacritic.com/game/100-years-war
100-Yen Gomibako,PlayStation 3,2009-07-16,SCEI,SCEI,Stacking Puzzle,,,,,https://www.metacritic.com/game/100-yen-gomibako
1000 Tiny Claws,PSP,2011-10-04,Mediatonic,Mediatonic,Action,76.0,8.0,7.2,11.0,/game/1000-tiny-claws/
1001 Spikes,3DS,2014-06-03,Nicalis,Nicalis,2D Platformer,78.0,8.0,6.5,37.0,/game/aban-hawkins-and-the-1-001-spikes/
100Ft Robot Golf,PlayStation 4,2017-09-27,No Goblin,No Goblin,Golf,56.0,18.0,6.2,20.0,/game/100ft-robot-golf/
101-In-1 Explosive Megamix,Wii,2009-04-21,Nordcurrent,Atlus,Party,46.0,13.0,2.8,,/game/101-in-1-explosive-megamix/
101-In-1 Sports Party Megamix,Wii,2011-01-13,Nordcurrent,Atlus,Sports,41.0,7.0,,,/game/101-in-1-sports-party-megamix/
1080: Avalanche,GameCube,2003-12-01,Nintendo,Nintendo,Skiing,73.0,37.0,7.8,28.0,/game/1080-avalanche/
1080: Teneighty Snowboarding,Nintendo 64,1998-03-31,Nintendo,Nintendo,Skiing,70.0,8.0,,,/game/1080-teneighty-snowboarding/
11-11: Memories Retold,Xbox One,2018-11-09,Digixart Entertainment,Bandai Namco Games,Third-Person Adventure,77.0,33.0,7.5,72.0,/game/11-11-memories-retold/
112 Operator,PC,2020-04-23,Jutsu Games,Games Operators,Strategy,73.0,10.0,7.2,30.0,/game/112-operator/
12 Labours Of Hercules Ii: The Cretan Bull,PC,2014-07-17,Zoom Out Games,GameHouse,Real-Time Strategy,7.0,13.0,,,https://www.metacritic.com/game/12-labours-of-hercules-ii-the-cretan-bull
12 Is Better Than 6,PC,2019-03-05,Ink Stains Games,HypeTrain Digital,Top-Down Shoot-'Em-Up,59.0,10.0,6.8,11.0,/game/12-is-better-than-6/
13 Sentinels: Aegis Rim,PlayStation 4,2020-09-22,Vanillaware,Sega,Adventure,85.0,70.0,8.9,443.0,/game/13-sentinels-aegis-rim/
140,PC,2020-01-09,Jeppe Carlsen,Jeppe Carlsen,2D Platformer,70.0,7.0,,,/game/140/
1503 A.D. - The New World,PC,2003-03-23,Sunflowers Interactive,Electronic Arts,Real-Time Strategy,74.0,14.0,6.9,15.0,/game/1503-a-d-the-new-world/
153 Hand Video Poker,Wii U,2016-06-02,Skunk Software,Skunk Software,Gambling,,,,,https://www.metacritic.com/game/153-hand-video-poker
1701 A.D.,PC,2006-11-06,Related Designs,Aspyr,Real-Time Strategy,79.0,30.0,7.8,32.0,/game/1701-a-d/
18 Wheeler: American Pro Trucker,Dreamcast,2002-02-20,Acclaim Studios Cheltenham,Acclaim,Auto Racing,52.0,17.0,4.5,,/game/18-wheeler-american-pro-trucker/
187 Ride Or Die,PlayStation 2,2005-08-24,Ubisoft Paris,Ubisoft,Vehicle Combat Sim,51.0,40.0,,,/game/187-ride-or-die/
1942: Joint Strike,Xbox 360,2008-07-23,Backbone Entertainment,Capcom,Vertical Shoot-'Em-Up,68.0,36.0,5.9,15.0,/game/1942-joint-strike/
1950S Lawn Mower Kids,DS,2011-11-03,Zordix,Zordix,Action Puzzle,43.0,7.0,,,/game/1950s-lawn-mower-kids/
1954: Alcatraz,PC,2014-03-11,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,58.0,24.0,6.3,44.0,/game/1954-alcatraz/
1979 Revolution: Black Friday,iOS (iPhone/iPad),2016-04-04,iNK Stories,iNK Stories,Adventure,80.0,27.0,7.5,86.0,/game/1979-revolution-black-friday/
198X,PlayStation 4,2019-06-20,Hi-Bit Studios,Hi-Bit Studios,Party,63.0,14.0,6.1,28.0,/game/198x/
1993 Shenandoah,Nintendo Switch,2020-07-09,Limit Break,Limit Break,Horizontal Shoot-'Em-Up,,,,,https://www.metacritic.com/game/1993-shenandoah
1Nsane,PC,2001-02-05,Invictus,Codemasters,Auto Racing Sim,69.0,14.0,7.2,24.0,/game/1nsane/
2 Days To Vegas,PC,,,,Action Adventure,,,,,https://www.metacritic.com/game/2-days-to-vegas
2002 Fifa World Cup,PlayStation 2,2002-04-22,EA Sports,EA Sports,Soccer Sim,73.0,19.0,5.4,10.0,/game/2002-fifa-world-cup/
2010 Fifa World Cup South Africa,Xbox 360,2010-04-27,Electronic Arts,EA Sports,Soccer Sim,83.0,61.0,8.4,41.0,/game/2010-fifa-world-cup-south-africa/
2014 Fifa World Cup Brazil,Xbox 360,2014-04-15,EA Canada,EA Sports,Soccer Sim,73.0,33.0,4.9,108.0,/game/2014-fifa-world-cup-brazil/
2064: Read Only Memories,PC,2017-01-17,MidBoss,MidBoss,Point-and-Click,76.0,15.0,3.4,555.0,/game/2064-read-only-memories/
2064: Read Only Memories Integral,Nintendo Switch,2018-07-26,MidBoss,MidBoss,Point-and-Click,74.0,7.0,6.5,15.0,/game/2064-read-only-memories-integral/
20Xx,PC,2018-07-10,Batterystaple Games,Batterystaple Games,2D Platformer,77.0,14.0,7.1,20.0,/game/20xx/
24: The Game,PlayStation 2,2006-02-28,SCE Studio Cambridge,2K Games,Action Adventure,62.0,53.0,7.6,27.0,/game/24-the-game/
25 To Life,PlayStation 2,2006-01-17,Avalanche Software,Eidos Interactive,Third Person Shooter,39.0,23.0,5.1,23.0,/game/25-to-life/
28 Waves Later,PC,2016-03-11,Arthur Kariev,Dagestan Technology,Top-Down Shoot-'Em-Up,4.5,4.0,,,https://www.metacritic.com/game/28-waves-later
2Dark,PC,2017-03-10,Gloomywood,Gloomywood,Action Adventure,54.0,19.0,7.5,31.0,/game/2dark/
2Xko,PC,,Radiant Entertainment,Riot Games,2D Fighting,,,,,https://www.metacritic.com/game/2xko
2Xl Mx Offroad,iOS (iPhone/iPad),2012-01-23,2XL Games,2XL Games,Auto Racing Sim,,,,,https://www.metacritic.com/game/2xl-mx-offroad
3 On 3 Nhl Arcade,PlayStation 3,2009-02-11,EA Canada,Electronic Arts,Hockey,64.0,21.0,6.8,20.0,/game/3-on-3-nhl-arcade/
3 Out Of 10: Season One,PC,2021-03-03,Terrible Posture Games,Terrible Posture Games,Adventure,73.0,5.0,,,https://www.metacritic.com/game/3-out-of-10-season-one
3-D Dinosaur Adventure,PC,,,,Edutainment,,,,,https://www.metacritic.com/game/3d-dinosaur-adventure
3-D Ultra Pinball: Creep Night,PC,1996-09-23,Sierra Entertainment,Sierra Entertainment,Pinball,5.6,5.0,,,https://www.metacritic.com/game/3d-ultra-pinball-creep-night
3-Demon,PC,,PC Research Inc.,John D. Price,Arcade,,,,,https://www.metacritic.com/game/3-demon
3000Th Duel,PC,2020-02-19,NEOPOPCORN Corp,NEOPOPCORN Corp,2D Platformer,71.0,8.0,8.4,64.0,/game/3000th-duel/
300: March To Glory,PSP,2007-02-27,Collision Studios,Warner Bros. Interactive Entertainment,3D Beat-'Em-Up,55.0,31.0,6.1,27.0,/game/300-march-to-glory/
30Xx,Xbox One,2023-08-09,Batterystaple Games,Batterystaple Games,2D Platformer,82.0,11.0,7.1,7.0,/game/30xx/
35Mm,PC,2022-03-02,Noskov Sergey,Sometimes You,Survival,4.6,5.0,,,https://www.metacritic.com/game/35mm
39 Days To Mars,PC,2018-04-25,It's Anecdotal,It's Anecdotal,Action Puzzle,71.0,10.0,5.0,10.0,/game/39-days-to-mars/
3D After Burner Ii,3DS,2015-01-15,M2,Sega,Aircraft Combat Sim,81.0,12.0,7.8,22.0,/game/3d-after-burner-ii/
3D Dot Game Heroes,PlayStation 3,2010-05-11,Silicon Studio,Atlus,Action RPG,77.0,66.0,7.5,82.0,/game/3d-dot-game-heroes/
3D Ultra Minigolf Adventures,PC,2007-04-18,Wanako Studios,Sierra Online,Golf,66.0,13.0,5.9,13.0,/game/3d-ultra-minigolf-adventures/
3Souls,Wii U,2016-07-28,Red Column,Red Column,2D Platformer,49.0,4.0,6.9,7.0,https://www.metacritic.com/game/3souls
3Rd Space Incursion,PC,2007-11-21,TN Games,TN Games,FPS,5.0,4.0,,,https://www.metacritic.com/game/3rd-space-incursion
4 Get It,PC,,Delphine Software International,Mindscape,Matching Puzzle,,,,,https://www.metacritic.com/game/4-get-it
4 Travellers: Play Italian,DS,,AGENIUS Interactive,AGENIUS Interactive,Edutainment,,,,,https://www.metacritic.com/game/4-travellers-play-italian
428: Shibuya Scramble,PSP,2018-09-04,Spike Chunsoft,Spike Chunsoft,Visual Novel,85.0,19.0,8.0,39.0,/game/428-shibuya-scramble/
4Pm,PC,2014-07-09,Bojan Brbora,4PM GAME,First-Person Adventure,41.0,7.0,4.1,27.0,/game/4pm/
4X4 Evo 2,PlayStation 2,2001-11-15,Terminal Reality,Gathering,Auto Racing Sim,59.0,15.0,,,/game/4x4-evo-2/
4X4 Evolution,PlayStation 2,2000-10-29,Terminal Reality,Gathering,Auto Racing Sim,73.0,23.0,6.6,20.0,/game/4x4-evolution/
5 Elements Masters,PC,,UltraFish,UltraFish,Action Adventure,,,,,https://www.metacritic.com/game/5-elements-masters
50 Cent: Blood On The Sand,PlayStation 3,2009-02-24,Swordfish Studios,THQ,Third Person Shooter,71.0,54.0,6.1,55.0,/game/50-cent-blood-on-the-sand/
50 Cent: Bulletproof,PlayStation 2,2006-08-29,High Voltage Software,Vivendi Games,Action Adventure,52.0,25.0,4.3,8.0,/game/50-cent-bulletproof/
502'S Arcade,PC,2024-02-22,502 Studios,502 Studios,Party,,,,,https://www.metacritic.com/game/502s-arcade
60 Parsecs!,PC,2018-09-18,Robot Gentleman,Robot Gentleman,Adventure,68.0,10.0,7.1,27.0,/game/60-parsecs/
7 Days To Die,PC,2016-06-28,Iron Galaxy Studios,Telltale Games,Survival,35.0,17.0,5.6,167.0,/game/7-days-to-die/
7 Wonders Of The Ancient World,iOS (iPhone/iPad),2007-04-23,Hot Lava Games,MumboJumbo,Matching Puzzle,51.0,10.0,6.0,,/game/7-wonders-of-the-ancient-world/
7Th Dragon Iii Code: Vfd,3DS,2016-07-12,Sega,Sega,JRPG,76.0,31.0,7.9,60.0,/game/7th-dragon-iii-code-vfd/
8-Bit Adventure Anthology: Volume 1,PlayStation 4,2017-10-31,Abstraction Games,Abstraction Games,Compilation,71.0,7.0,,,/game/8-bit-adventure-anthology-volume-1/
8-Bit Armies,PC,2016-04-22,Petroglyph,Petroglyph,Command RTS,69.0,9.0,7.2,22.0,/game/8-bit-armies/
8-Bit Hordes,PC,2019-02-01,Petroglyph,Petroglyph,Command RTS,63.0,12.0,3.0,7.0,/game/8-bit-hordes/
80 Days (2005),PC,2005-12-12,Frogwares,Matrix Games,Third-Person Adventure,58.0,17.0,7.9,16.0,/game/80-days-2005/
88 Heroes,PC,2017-03-24,Bitmap Bureau,Rising Star Games,2D Platformer,72.0,8.0,5.8,5.0,/game/88-heroes/
88 Heroes: 98 Heroes Edition,Nintendo Switch,2017-10-10,Bitmap Bureau,Rising Star Games,2D Platformer,65.0,11.0,6.4,8.0,/game/88-heroes-98-heroes-edition/
8Bit Hero,Wii U,2016-05-12,Sean Garland,RighteousWeasel,Action Adventure,,,,,https://www.metacritic.com/game/8bit-hero
9 Monkeys Of Shaolin,Xbox One,2020-10-16,Sobaka,Buka Entertainment,3D Beat-'Em-Up,71.0,14.0,6.6,24.0,/game/9-monkeys-of-shaolin/
9 Years Of Shadows,PC,2023-03-27,Halberd Studios,Freedom Games,Metroidvania,74.0,15.0,7.5,37.0,/game/9-years-of-shadows/
911 Operator,PC,2017-02-24,Jutsu Games,PlayWay,Strategy,68.0,8.0,6.7,73.0,/game/911-operator/
99Bullets,DS,2011-05-23,EnjoyUp Games,EnjoyUp Games,Vertical Shoot-'Em-Up,74.0,8.0,,,/game/99bullets/
99Moves,PlayStation 5,2014-12-18,EnjoyUp Games,EnjoyUp Games,Arcade,,,,,https://www.metacritic.com/game/99moves
99Seconds,DS,2012-05-31,EnjoyUp Games,EnjoyUp Games,Arcade,64.0,4.0,,,https://www.metacritic.com/game/99seconds
99Vidas,PC,2017-07-18,QUByte Interactive,QUByte Interactive,2D Beat-'Em-Up,61.0,11.0,6.4,43.0,/game/99vidas/
A Bastard'S Tale,PC,2016-10-04,No Pest Productions,No Pest Productions,2D Beat-'Em-Up,48.0,7.0,5.5,6.0,/game/a-bastards-tale/
A Bird Story,PC,2014-11-07,Freebird Games,Freebird Games,Adventure,66.0,18.0,7.0,169.0,/game/a-bird-story/
A Boy And His Blob,Wii,2009-10-13,WayForward,Majesco,2D Platformer,80.0,43.0,7.8,35.0,/game/a-boy-and-his-blob/
A Boy And His Blob: Retro Collection,PlayStation 5,2023-10-17,Carbon Engine,Ziggurat Interactive,Compilation,,,,,https://www.metacritic.com/game/a-boy-and-his-blob-retro-collection
A Case Of Distrust,PC,2018-02-08,The Wandering Ben,Serenity Forge,Adventure,77.0,12.0,5.8,13.0,/game/a-case-of-distrust/
A City Sleeps,PC,2014-10-16,Harmonix Music Systems,Harmonix Music Systems,Horizontal Shoot-'Em-Up,61.0,11.0,6.2,6.0,/game/a-city-sleeps/
A Day At The Carnival,Wii U,2017-07-06,Thornbury Software,Thornbury Software,Party,,,,,https://www.metacritic.com/game/a-day-at-the-carnival
A Duel Hand Disaster: Trackher,PlayStation 4,2019-06-10,Ask An Enemy Studios,Ask An Enemy Studios,Vertical Shoot-'Em-Up,65.0,6.0,,,https://www.metacritic.com/game/a-duel-hand-disaster-trackher
A Fisherman'S Tale,PlayStation 4,2019-01-22,Innerspace VR,Vertigo Games,Adventure,70.0,15.0,6.1,16.0,/game/a-fishermans-tale/
A Fistful Of Gun,PC,2015-09-24,FarmerGnome,Devolver Digital,Top-Down Shoot-'Em-Up,60.0,10.0,7.1,16.0,/game/a-fistful-of-gun/
A Fold Apart,PC,2020-04-16,Lightning Rod Games,Lightning Rod Games,Adventure,77.0,17.0,5.8,8.0,/game/a-fold-apart/
A Game You Can'T Beat!!,Xbox 360,2010-11-22,Latin Soul Studio,Latin Soul Studio,Action,,,,,https://www.metacritic.com/game/a-game-you-cant-beat
A Game Of Dwarves,PC,2012-10-23,Zeal Game Studios,Paradox Interactive,Strategy,60.0,11.0,6.4,66.0,/game/a-game-of-dwarves/
A Game Of Thrones: Genesis,PC,2011-09-28,Cyanide,Focus Home Interactive,Real-Time Strategy,53.0,40.0,4.1,117.0,/game/a-game-of-thrones-genesis/
A Golden Wake,PC,2014-10-09,Grundislav Games,Wadjet Eye Games,Point-and-Click,68.0,17.0,6.0,20.0,/game/a-golden-wake/
A Gummy'S Life,PC,2018-09-25,EP Games,EP Games,Party,61.0,7.0,8.0,5.0,/game/a-gummys-life/
A Hat In Time,PC,2017-10-05,Gears for Breakfast,Gears for Breakfast,3D Platformer,79.0,41.0,8.7,561.0,/game/a-hat-in-time/
A Highland Song,Nintendo Switch,2023-12-05,inkle,inkle,Adventure,81.0,20.0,6.3,,/game/a-highland-song/
A Juggler'S Tale,Nintendo Switch,2021-09-29,Kaleidoscube,Mixtvision,2D Platformer,69.0,9.0,7.6,12.0,/game/a-jugglers-tale/
A Kingdom For Keflings,Xbox 360,2008-11-19,NinjaBee,NinjaBee,Strategy,78.0,26.0,6.8,30.0,/game/a-kingdom-for-keflings/
A Knight'S Quest,Xbox One,2019-10-10,Sky9,Curve Digital,Open-World Action,59.0,9.0,4.9,17.0,/game/a-knights-quest-2019/
A Little Golf Journey,Nintendo Switch,2021-10-14,Okidokico,Playtonic Friends,Golf,80.0,12.0,7.5,,/game/a-little-golf-journey/
A Little To The Left,PC,2022-11-08,Max Inferno,Secret Mode,Puzzle,75.0,26.0,7.3,24.0,/game/a-little-to-the-left/
A Memoir Blue,PC,2022-03-24,Cloisters,Annapurna Interactive,Adventure,71.0,14.0,5.9,13.0,/game/a-memoir-blue/
A Musical Story,Xbox One,2022-03-03,Glee-Cheese Studio,Digerati Distribution,Rhythm,79.0,8.0,,,/game/a-musical-story/
A New Beginning,DS,2012-12-11,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,72.0,20.0,6.9,94.0,/game/a-new-beginning/
A Normal Lost Phone,PC,2018-03-01,Plug In Digital,Plug In Digital,Simulation,73.0,10.0,7.1,15.0,/game/a-normal-lost-phone/
A Pixel Story,PC,2015-03-30,Lamplight Studios,Channel 4,2D Platformer,74.0,14.0,5.8,6.0,/game/a-pixel-story/
A Plague Tale: Innocence,PlayStation 4,2019-05-14,Asobo Studio,Focus Home Interactive,Linear Action Adventure,81.0,65.0,8.4,1645.0,/game/a-plague-tale-innocence/
A Plague Tale: Requiem,Xbox Series X,2022-10-18,Asobo Studio,Focus Entertainment,Linear Action Adventure,82.0,70.0,8.3,991.0,https://www.metacritic.com/game/a-plague-tale-requiem
A Quiet Weekend In Capri,PC,2004-03-17,Silvio & Gey Savarese,Got Game Entertainment,Third-Person Adventure,63.0,11.0,6.8,5.0,/game/a-quiet-weekend-in-capri/
A Robot Named Fight!,PC,2018-04-26,Matt Bitner,Hitcents,Metroidvania,71.0,9.0,7.6,31.0,/game/a-robot-named-fight/
A Rose In The Twilight,PlayStation Vita,2017-04-11,Nippon Ichi Software,NIS America,2D Platformer,75.0,18.0,8.4,17.0,/game/a-rose-in-the-twilight/
A Short Hike,PC,2020-08-18,adamgryu,Whippoorwill Limited,Adventure,88.0,17.0,8.6,268.0,/game/a-short-hike/
A Space For The Unbound,PC,2023-01-19,Mojiken Studio,Chorus Worldwide,Adventure,85.0,24.0,7.6,44.0,/game/a-space-for-the-unbound/
A Space Shooter For 2 Bucks,iOS (iPhone/iPad),2010-12-21,Frima Studio,Frima Studio,Vertical Shoot-'Em-Up,81.0,15.0,7.4,10.0,/game/a-space-shooter-for-2-bucks/
A Story About My Uncle,PC,2012-07-30,Gone North Games,Gone North Games,3D Platformer,73.0,24.0,7.0,190.0,/game/a-story-about-my-uncle/
A Tale Of Paper,PlayStation 4,2020-10-21,Open House Games,Digerati Distribution,2D Platformer,60.0,6.0,6.6,10.0,https://www.metacritic.com/game/a-tale-of-paper
A Total War Saga: Troy,PC,2020-08-13,Creative Assembly,Sega,Real-Time Strategy,75.0,53.0,6.0,288.0,/game/a-total-war-saga-troy/
A Total War Saga: Thrones Of Britannia,PC,2018-05-02,Creative Assembly,Sega Europe,Real-Time Strategy,75.0,54.0,5.5,176.0,/game/a-total-war-saga-thrones-of-britannia/
A Valley Without Wind,PC,2012-04-24,"Arcen Games, LLC","Arcen Games, LLC",Action Adventure,54.0,12.0,6.6,63.0,/game/a-valley-without-wind/
A Valley Without Wind 2,PC,2013-02-18,"Arcen Games, LLC","Arcen Games, LLC",2D Platformer,68.0,6.0,7.0,33.0,https://www.metacritic.com/game/a-valley-without-wind-2
A Vampyre Story,PC,2008-12-02,Autumn Moon,Crimson Cow,Point-and-Click,75.0,33.0,,,/game/a-vampyre-story/
A Virus Named Tom,PC,2012-08-01,Misfits Attic,Misfits Attic,Action Puzzle,65.0,9.0,6.2,62.0,/game/a-virus-named-tom/
A Way Out,PC,2018-03-23,Hazelight,Electronic Arts,Linear Action Adventure,78.0,66.0,7.9,1151.0,/game/a-way-out/
A Winter'S Daydream,PC,2022-06-24,ebi-hime,Sometimes You,Visual Novel,,,,,https://www.metacritic.com/game/a-winters-daydream
A Witch'S Tale,DS,2009-10-13,Hit Maker,NIS America,RPG,50.0,17.0,7.0,8.0,/game/a-witchs-tale/
A World Of Keflings,Xbox 360,2010-12-22,NinjaBee,NinjaBee,Management,77.0,23.0,6.9,36.0,/game/a-world-of-keflings/
A Grande Bagunca Espacial - The Big Space Mess,PC,2016-04-05,RMAL,SouKing,Horizontal Shoot-'Em-Up,3.7,9.0,,,https://www.metacritic.com/game/a-grande-bagunca-espacial-the-big-space-mess
A-Train: All Aboard! Tourism,Nintendo Switch,2021-03-12,Artdink,Artdink,Tycoon,67.0,15.0,8.5,,/game/a-train-all-aboard-tourism/
A.R.E.S. Extinction Agenda Ex,Xbox 360,2013-10-02,ORiGO GAMES,Aksys Games,2D Platformer,66.0,7.0,7.2,18.0,/game/a-r-e-s-extinction-agenda-ex/
A.W.: Phoenix Festa,PlayStation Vita,2016-07-26,Bandai Namco Games,Bandai Namco Games,Action RPG,55.0,17.0,4.2,11.0,/game/aw-phoenix-festa/
Abc Monday Night Football,PC,1996-09-30,Overtime Sports,Overtime Sports,Football Sim,6.0,4.0,,,https://www.metacritic.com/game/abc-monday-night-football
Abzu,PlayStation 4,2016-08-02,Giant Squid,505 Games,Third-Person Adventure,78.0,73.0,7.7,590.0,/game/abzu/
Ac/Dc Live: Rock Band Track Pack,PlayStation 3,2008-11-02,Harmonix Music Systems,MTV Games,Rhythm,63.0,16.0,5.0,9.0,/game/ac-dc-live-rock-band-track-pack/
Ace,PC,,High Contrast,Morgonrock,2D Platformer,,,,,https://www.metacritic.com/game/ace
Ace: Alien Cleanup Elite,Wii U,2017-03-16,Matthew Flewelling,Nitrolic Games,2D Platformer,,,,,https://www.metacritic.com/game/ace-alien-cleanup-elite
Acorn Tactics,Nintendo Switch,2017-12-07,TACS Games,TACS Games,Turn-Based Tactics,51.0,8.0,,,/game/acorn-tactics/
Adr1Ft,PC,2016-03-28,Three One Zero,505 Games,Survival,64.0,44.0,5.4,59.0,/game/adr1ft/
Aer: Memories Of Old,PlayStation 4,2017-10-25,Forgotten Key,Daedalic Entertainment,Open-World Action,69.0,18.0,6.5,70.0,/game/aer-memories-of-old/
Aew: Fight Forever,PlayStation 5,2023-06-29,Yuke's,THQ Nordic,Wrestling,64.0,44.0,5.4,59.0,/game/aew-fight-forever/
Agon: The Mysterious Codex,PC,,Private Moon Studios,Private Moon Studios,Third-Person Adventure,73.0,13.0,,,/game/agon-the-mysterious-codex/
Ai War: Fleet Command,PC,2009-05-14,"Arcen Games, LLC","Arcen Games, LLC",Real-Time Strategy,80.0,8.0,7.5,80.0,/game/ai-war-fleet-command/
Ai: Rampage,PC,2016-01-27,Sekerin Productions,New Reality Games,Top-Down Shoot-'Em-Up,3.0,5.0,,,https://www.metacritic.com/game/ai-rampage
Ai: The Somnium Files,PlayStation 4,2019-09-17,Spike Chunsoft,Spike Chunsoft,Action Adventure,78.0,22.0,8.7,380.0,/game/ai-the-somnium-files/
Ai: The Somnium Files - Nirvana Initiative,Nintendo Switch,2022-06-24,Spike Chunsoft,Spike Chunsoft,Action Adventure,85.0,21.0,8.4,55.0,/game/ai-the-somnium-files-nirvana-initiative/
Aipd - Artificial Intelligence Police Department,PlayStation 4,2016-01-29,Blazing Badger,Blazing Badger,Top-Down Shoot-'Em-Up,70.0,10.0,,,/game/aipd-artificial-intelligence-police-department/
Airheart,PC,2018-07-24,Blindflug Studios,Blindflug Studios,Top-Down Shoot-'Em-Up,63.0,16.0,5.8,16.0,/game/airheart/
Ak-Xolotl,PC,2023-09-14,2Awesome Studio,Playstack,Top-Down Shoot-'Em-Up,75.0,9.0,6.3,11.0,/game/ak-xolotl/
Altdeus: Beyond Chronos,PC,2020-12-04,MyDearest,MyDearest,Visual Novel,78.0,11.0,8.5,10.0,/game/altdeus-beyond-chronos/
Ama Superbike,PC,1999-09-30,Motorsims,Motorsims,Auto Racing Sim,,,,,https://www.metacritic.com/game/ama-superbike
Amid Evil,PC,2019-06-20,Indefatigable,New Blood Interactive,FPS,85.0,9.0,7.5,99.0,/game/amid-evil/
Amid Evil Vr,PC,2023-04-20,Indefatigable,New Blood Interactive,FPS,,,,,https://www.metacritic.com/game/amid-evil-vr
